Naziv,Cijena,Link,Izvor
Lenovo IdeaPad 1 15IGL7,268.0,https://pc-gamer.me/p/Lenovo-IdeaPad-1-15IGL7--95849,PC-Gamer
"Lenovo IdeaPad 1 15IGL7 Celeron N4500/8GB/256GB SSD/15.6"" grey",269.0,https://pc-gamer.me/p/Lenovo-IdeaPad-1-15IGL7-Celeron-N4500-8GB-256GB-SSD-15-6-grey--107332,PC-Gamer
Lenovo IdeaPad 1 15IJL7,269.0,https://pc-gamer.me/p/Lenovo-IdeaPad-1-15IJL7--108347,PC-Gamer
Lenovo 82LX00BFYA,283.5,https://pc-gamer.me/p/Lenovo-82LX00BFYA--110686,PC-Gamer
"Lenovo IdeaPad 1 15IJL7 Celeron N4500 / 8GB / 256GB SSD / 15.6"" FHD / IntelUHD /",291.3,https://pc-gamer.me/p/Lenovo-IdeaPad-1-15IJL7-Celeron-N4500-8GB-256GB-SSD-15-6-FHD-IntelUHD---107349,PC-Gamer
HP 250 G8 N4020,297.0,https://pc-gamer.me/p/HP-250-G8-N4020--81479,PC-Gamer
Lenovo V15 G2 IJL (82QY00QCYA),304.3,https://pc-gamer.me/p/Lenovo-V15-G2-IJL-82QY00QCYA---92807,PC-Gamer
"Lenovo IdeaPad 1 15AMN7 AMD Ryzen 3 7320U / 8GB DDR5 / 512GB SSD / 15.6"" FHD TN",319.0,https://pc-gamer.me/p/Lenovo-IdeaPad-1-15AMN7-AMD-Ryzen-3-7320U-8GB-DDR5-512GB-SSD-15-6-FHD-TN--107639,PC-Gamer
Lenovo IdeaPad Slim 3 15IAN8,322.4,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15IAN8--105114,PC-Gamer
Lenovo IdeaPad Slim 3 15IAN8,336.0,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15IAN8--105116,PC-Gamer
Lenovo V15 G4 IRU i3-1315U/8GB/256GB SSD/15.6,339.0,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-i3-1315U-8GB-256GB-SSD-15-6--105256,PC-Gamer
"acer aspire lite 14 al 14-31p-30k1,i30-n30,8gb,512gb",340.0,https://pc-gamer.me/p/acer-aspire-lite-14-al-14-31p-30k1-i30-n30-8gb-512gb--113059,PC-Gamer
HP 250 G10 Celeron N100/256GB/8GB DDR4/15.6,349.6,https://pc-gamer.me/p/HP-250-G10-Celeron-N100-256GB-8GB-DDR4-15-6--113255,PC-Gamer
HP 250 G10,365.0,https://pc-gamer.me/p/HP-250-G10--104542,PC-Gamer
Lenovo V15 G4 R3-7320U/8GB/512GB 82YU00YPYA,374.2,https://pc-gamer.me/p/Lenovo-V15-G4-R3-7320U-8GB-512GB-82YU00YPYA--99047,PC-Gamer
Lenovo V15 G4 IRU i3-1315U/16GB/512GB SSD/15.6inča FHD IPS/IntelUHD/YU/NoOS/Black,399.0,https://pc-gamer.me/p/Lenovo-V15-G4-IRU-i3-1315U-16GB-512GB-SSD-15-6in-a-FHD-IPS-IntelUHD-YU-NoOS-Black--107220,PC-Gamer
HP 250 G10  i3-1315U/512GB SSD/8GB DDR4/15.6,401.4,https://pc-gamer.me/p/HP-250-G10-i3-1315U-512GB-SSD-8GB-DDR4-15-6--113320,PC-Gamer
HP 250 G10 i3-1315U 16GB 512GB,413.0,https://pc-gamer.me/p/HP-250-G10-i3-1315U-16GB-512GB--109953,PC-Gamer
HP 15-fd0047m i3-N305/8GB/256GB SSD/15.6inch FHD/IntelUHD/NoOS/ChalkboardGray,427.3,https://pc-gamer.me/p/HP-15-fd0047m-i3-N305-8GB-256GB-SSD-15-6inch-FHD-IntelUHD-NoOS-ChalkboardGray--101459,PC-Gamer
ASUS Vivobook Go 15 E1504FA-NJ935,438.0,https://pc-gamer.me/p/ASUS-Vivobook-Go-15-E1504FA-NJ935--107606,PC-Gamer
Asus Vivobook 15 X1504ZA-NJ847,438.9,https://pc-gamer.me/p/Asus-Vivobook-15-X1504ZA-NJ847--112119,PC-Gamer
HP 15-fd0094nm i3-N305,439.0,https://pc-gamer.me/p/HP-15-fd0094nm-i3-N305--106842,PC-Gamer
HP 15-fd0093nm i3-N305 A74SREA,439.0,https://pc-gamer.me/p/HP-15-fd0093nm-i3-N305-A74SREA--107019,PC-Gamer
DELL OEM Vostro 3520 15.6 inch FHD 120Hz,449.0,https://pc-gamer.me/p/DELL-OEM-Vostro-3520-15-6-inch-FHD-120Hz--109261,PC-Gamer
Lenovo 83ER00M1YA,453.0,https://pc-gamer.me/p/Lenovo-83ER00M1YA--113152,PC-Gamer
Lenovo 83ER00LYYA,453.0,https://pc-gamer.me/p/Lenovo-83ER00LYYA--113156,PC-Gamer
"Lenovo IdeaPad Slim 3 15ABR8 Ryzen5 5625U/512GB/8GB/RadeonGraphics/15.6"" FHD/YU/ArcticGrey/NoOS",453.2,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15ABR8-Ryzen5-5625U-512GB-8GB-RadeonGraphics-15-6-FHD-YU-ArcticGrey-NoOS--113346,PC-Gamer
HP 15-fd0041nm i3-N305/512GB/8GB/15.6inch FHD/Integrated/NoOS/Natural Silver,466.1,https://pc-gamer.me/p/HP-15-fd0041nm-i3-N305-512GB-8GB-15-6inch-FHD-Integrated-NoOS-Natural-Silver--111944,PC-Gamer
HP 15-fd0042nm Intel Core i3-N305/512GB/8GB/15.6 FHD/Integrated/NoOS/Moonlight blue,466.1,https://pc-gamer.me/p/HP-15-fd0042nm-Intel-Core-i3-N305-512GB-8GB-15-6-FHD-Integrated-NoOS-Moonlight-blue--111945,PC-Gamer
HP 15-fd0043nm Intel Core i3-N305 /512GB/8GB/15.6 FHD/Integrated/NoOS/Diamond white,466.1,https://pc-gamer.me/p/HP-15-fd0043nm-Intel-Core-i3-N305-512GB-8GB-15-6-FHD-Integrated-NoOS-Diamond-white--111946,PC-Gamer
Lenovo 83ES0043YA,476.5,https://pc-gamer.me/p/Lenovo-83ES0043YA--113154,PC-Gamer
"LENOVO V15-AMN G4, 82YU00YYYA",477.7,https://pc-gamer.me/p/LENOVO-V15-AMN-G4-82YU00YYYA--106216,PC-Gamer
Lenovo IdeaPad Slim 3 15ABR8 Ryzen7 5825U/512GB/8GB/RadeoGraphics/15.6 FHD/YU/Arctic Grey/NoOS,479.0,https://pc-gamer.me/p/Lenovo-IdeaPad-Slim-3-15ABR8-Ryzen7-5825U-512GB-8GB-RadeoGraphics-15-6-FHD-YU-Arctic-Grey-NoOS--113347,PC-Gamer
