Naziv,Cijena,Link,Izvor
DELL G15 5530 15.6 inch FHD 165Hz 300nits i7-13650HX 16GB 512GB SSD GeForce RTX 4050 Backlit Ubuntu gaming laptop,1754.58,https://tehnomax.me/racunari-i-komponente/laptop-racunari/dell-g15-5530-156-inch-fhd-165hz-300nits-i7-13650hx-16gb-512gb-ssd-geforce-rtx-4050-backlit-ubuntu-gaming-laptop-.html,Tehnomax
DELL Vostro 3530 15.6 inch FHD 120Hz i3-1305U 8GB 512GB SSD laptop,485.64,https://tehnomax.me/racunari-i-komponente/laptop-racunari/dell-vostro-3530-156-inch-fhd-120hz-i3-1305u-8gb-512gb-ssd-laptop-.html,Tehnomax
DELL Vostro 3530 15.6 inch FHD 120Hz i5-1334U 8GB 512GB SSD Intel Iris Xe YU laptop,595.3,https://tehnomax.me/racunari-i-komponente/laptop-racunari/dell-vostro-3530-156-inch-fhd-120hz-i5-1334u-8gb-512gb-ssd-intel-iris-xe-yu-laptop-.html,Tehnomax
DELL Vostro 3530 15.6 inch FHD 120Hz i7-1355U 16GB 512GB SSD Intel Iris Xe laptop,900.79,https://tehnomax.me/racunari-i-komponente/laptop-racunari/dell-vostro-3530-156-inch-fhd-120hz-i7-1355u-16gb-512gb-ssd-intel-iris-xe-laptop-.html,Tehnomax
ACER Aspire A315 15.6 inča FHD Ryzen 7 5700U 16GB 512GB SSD sivi laptop,607.84,https://tehnomax.me/racunari-i-komponente/laptop-racunari/aspire-a315-156-inca-fhd-ryzen-7-5700u-16gb-512gb-ssd-sivi-laptop.html,Tehnomax
DELL Vostro 3530 15.6 inch FHD 120Hz i5-1334U 8GB 512GB SSD Intel Iris Xe laptop,595.3,https://tehnomax.me/racunari-i-komponente/laptop-racunari/vostro-3530-156-inch-fhd-120hz-i5-1334u-8gb-512gb-ssd-intel-iris-xe-laptop.html,Tehnomax
DELL Latitude 5450 14 inch FHD Core Ultra 7 155U 16GB 512GB SSD Backlit FP SC Win11Pro 3yr ProSupport,2083.56,https://tehnomax.me/racunari-i-komponente/laptop-racunari/latitude-5450-14-inch-fhd-core-ultra-7-155u-16gb-512gb-ssd-backlit-fp-sc-win11pro-3yr-prosupport.html,Tehnomax
DELL Latitude 5450 14 inch FHD Core Ultra 5 125U 8GB 512GB SSD YU Backlit FP Win11Pro 3yr ProSupport,1801.58,https://tehnomax.me/racunari-i-komponente/laptop-racunari/latitude-5450-14-inch-fhd-core-ultra-5-125u-8gb-512gb-ssd-yu-backlit-fp-win11pro-3yr-prosupport.html,Tehnomax
ACER Aspire A315 15.6 inča FHD Ryzen 7 5700U 8GB 512GB SSD sivi laptop,593.74,https://tehnomax.me/racunari-i-komponente/laptop-racunari/aspire-a315-156-inca-fhd-ryzen-7-5700u-8gb-512gb-ssd-sivi-laptop.html,Tehnomax
DELL Inspiron 3535 15.6 inch FHD 120Hz AMD Ryzen 7 7730U 16GB 1TB SSD laptop,830.29,https://tehnomax.me/racunari-i-komponente/laptop-racunari/inspiron-3535-156-inch-fhd-120hz-amd-ryzen-7-7730u-16gb-1tb-ssd-laptop.html,Tehnomax
