Naziv,Cijena,Link,Izvor
Laptop Lenovo IdeaPad 15IJL7 Celeron N4500/8/256GB 82LX00BFYA,290.4,https://tehnoplus.me/artikli/laptop-lenovo-ideapad-15ijl7-celeron-n4500-8-256gb-82lx00bfya/,Tehnoplus
Laptop Acer Aspire Lite 14 AL14-31P-30K1 14'' i3-N300 8/512GB SSD (NX.KS9EX.002),328.0,https://tehnoplus.me/artikli/laptop-acer-aspire-lite-14-al14-31p-30k1-14-i3-n300-8-512gb-ssd-nx-ks9ex-002/,Tehnoplus
"Laptop HP 15-fd0047m i3-N305 8/256GB SSD/15.6"" FHD/Intel/UHD A03H5EA",391.2,https://tehnoplus.me/artikli/laptop-hp-15-fd0047m-i3-n305-8-256gb-ssd-15-6-fhd-intel-uhd-a03h5ea/,Tehnoplus
"Laptop DELL Vostro 3520 15.6"" i3-1215U 8/512GB SSD +torba+miš (NOT24818)/",392.0,https://tehnoplus.me/artikli/laptop-dell-vostro-3520-15-6-i3-1215u-8-512gb-ssd-torba-mis-not24818/,Tehnoplus
"Laptop Dell Vostro 3530 SSD 15.6"" FHD 120Hz/ i3 1305U/8/256GB 210-BGLW-004",407.2,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-ssd-15-6-fhd-120hz-i3-1305u-8-256gb-210-bglw-004/,Tehnoplus
"Laptop HP 250 G10 i3-1315u/8/256/15.6"" FHD 8A5C9EA",407.2,https://tehnoplus.me/artikli/laptop-hp-250-g10-i3-1315u-8-256-15-6-fhd-8a5c9ea/,Tehnoplus
"Laptop Acer Extensa 15 EX215-55-3819 15.6"" i3-1215U 8/512GB SSD (NOT24637)",420.0,https://tehnoplus.me/artikli/laptop-acer-extensa-15-ex215-55-3819-15-6-i3-1215u-8-512gb-ssd-not24637/,Tehnoplus
"Laptop Dell Vostro 3530 15.6"" FHD 120Hz/i3 1305U/8/512 210-BGLW-001",420.0,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-15-6-fhd-120hz-i3-1305u-8-512-210-bglw-001/,Tehnoplus
Laptop HP 250 G9 i3-1215U/8/512 6S7B3EA,420.0,https://tehnoplus.me/artikli/laptop-hp-250-g9-i3-1215u-8-512-6s7b3ea/,Tehnoplus
"Laptop DELL OEM Vostro 3520 15.6"" i3-1215U 16/512GB SSD (NOT24749)/",427.2,https://tehnoplus.me/artikli/laptop-dell-oem-vostro-3520-15-6-i3-1215u-16-512gb-ssd-not24749/,Tehnoplus
"Laptop HP 250 G10 i3-1315u 15.6"" FHD 16/512GB SSD (AK9P4AT)",431.2,https://tehnoplus.me/artikli/laptop-hp-250-g10-i3-1315u-15-6-fhd-16-512gb-ssd-ak9p4at/,Tehnoplus
Laptop DELL Vostro 3530 15.6'' i3-1305U 8/512GB SSD (NOT22366)/,436.0,https://tehnoplus.me/artikli/laptop-dell-vostro-3530-15-6-i3-1305u-8-512gb-ssd-not22366/,Tehnoplus
"Laptop Dell Vostro 3520 i3-1215u 8GB/512GB 15.6"" FHD/Intel/UHD 210-BECX-001",439.2,https://tehnoplus.me/artikli/laptop-dell-vostro-3520-i3-1215u-8gb-512gb-15-6-fhd-intel-uhd-210-becx-001/,Tehnoplus
Laptop HP 250 G9 i3-1215u/8/512GB SSD 6S775EA,447.2,https://tehnoplus.me/artikli/laptop-hp-250-g9-i3-1215u-8-512gb-ssd-6s775ea/,Tehnoplus
Laptop HP 15-fd0091nm Intel i3 N305/8/512 A74SQEA,463.2,https://tehnoplus.me/artikli/laptop-hp-15-fd0091nm-intel-i3-n305-8-512-a74sqea/,Tehnoplus
