Model,Najniža cijena (€),Prodavnica,Link
ACER Aspire A315 15.6 inča FHD Ryzen 7 5700U 16GB 512GB SSD sivi laptop,502.3,PC-Gamer,https://pc-gamer.me/p/ACER-Aspire-A315-15-6-in-a-FHD-Ryzen-7-5700U-16GB-512GB-SSD-sivi-laptop--100675
DELL Vostro 3530 15.6 inch FHD 120Hz i3-1305U 8GB 512GB SSD laptop,485.64,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/dell-vostro-3530-156-inch-fhd-120hz-i3-1305u-8gb-512gb-ssd-laptop-.html
DELL Latitude 5450 14 inch FHD Core Ultra 5 125U 8GB 512GB SSD Backlit FP SC Ubuntu 3yr ProSupport,1472.59,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/latitude-5450-14-inch-fhd-core-ultra-5-125u-8gb-512gb-ssd-backlit-fp-sc-ubuntu-3yr-prosupport.html
DELL Inspiron 3535 15.6 inch FHD 120Hz AMD Ryzen 5 7520U 8GB 512GB SSD laptop,563.97,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/inspiron-3535-156-inch-fhd-120hz-amd-ryzen-5-7520u-8gb-512gb-ssd-laptop.html
ACER Aspire Go 15 15.3 inča WUXGA IPS i5-1334U 16GB 512GB crni,569.7,PC-Gamer,https://pc-gamer.me/p/ACER-Aspire-Go-15-15-3-in-a-WUXGA-IPS-i5-1334U-16GB-512GB-crni--110397
DELL G15 5530 15.6 inch FHD 165Hz 300nits i7-13650HX 16GB 512GB SSD GeForce RTX 4050 Backlit Ubuntu gaming laptop,1754.58,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/dell-g15-5530-156-inch-fhd-165hz-300nits-i7-13650hx-16gb-512gb-ssd-geforce-rtx-4050-backlit-ubuntu-gaming-laptop-.html
LAPTOP ACER ASPIRE 3 A315-43-R9D5 NX.K7UEX.014,526.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-a315-43-r9d5-nxk7uex014.html
LAPTOP ASUS ROG STRIX G15 G513RM-HQ156W,1894.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-g513rm-hq156w-r7-6800h-16g-1t-rtx3060-w11h.html
LAPTOP ASUS EXPERTBOOK B9400CEA-KC1228X,1521.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-b9400cea-kc1228x-i7-1165g7-16g-512g-w11p.html
LAPTOP HP OMEN 16-B1010NM 6G1Q5EA,1710.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-omen-16-b1010nm-i7-16-512-rtx3060-6g1q5ea.html
LAPTOP DELL G15 5520 i5-12500H/8GB/512GB/RTX 3050TI 5Y5B,1259.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-dell-g15-5520-156-120hz-i5-12500h-8g-512g-rtx-3050-ti-5y5b.html
LAPTOP GIGABYTE AERO 5 KE4 I7-12700H 16GB 1TB SSD RTX 3060 W11H,2038.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-gigabyte-aero-5-ke4-i7-12700h-16gb-1tb-ssd-rtx-3060-w11h.html
LAPTOP ACER NITRO 5 AN515-46-R4M3 NH.QGZEX.009,1395.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-nitro-an515-46-r4m3-nhqgzex009.html
LAPTOP ASUS VIVOBOOK X1505ZA-OLED-L521,742.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-x1505za-oled-l521.html
LAPTOP ASUS VIVOBOOK M1603QA-MB521,679.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-m1603qa-mb521.html
LAPTOP DELL VOSTRO 3525 15.6' RYZEN 3 5425U/8GB/256GB SSD 5Y5B,540.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-dell-vostro-3525-156-ryzen-3-5425u-8gb-256gb-ssd-5y5b.html
LAPTOP ACER PREDATOR HELIOS 300 PH317-56-70PS NH.QGQEX.004,2263.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-acer-ph317-56-70ps-nhqgqex004.html
LAPTOP ASUS VIVOBOOK X1502ZA-BQ512 I5-1235U/8G/512,504.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-vivobook-x1502za-bq512.html
LAPTOP ASUS STRIX G15 G513RM-LN397,1699.2,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-g513rm-ln397-r7-6800h-16g-1t-rtx3060.html
LAPTOP ASUS TUF GAMING F15 FX506LHB-HN324,899.1,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-asus-fx506lhb-hn324.html
LAPTOP GIGABYTE G5 I5-12500H 16GB 512GB GEFORCE RTX 3050 NOT21059,1098.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-gigabyte-g5-i5-12500h-16gb-512gb-geforce-rtx-3050-not21059.html
LAPTOP GIGABYTE G5 ME I5-12500H/16GB/512GB/RTX 3050 TI,1129.5,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-gigabyte-g5-me-156-144hz-i5-12500h-16g-512g-rtx-3050-ti.html
LAPTOP GIGABYTE G5 GE  KF 15.3' 144HZ I5-12500H 8GB 512GB RTX 3050,810.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-gigabyte-g5-ge-kf-153-144hz-i5-12500h-8gb-512gb-rtx-3050.html
LAPTOP HP VICTUS GAMING 15-FB0051NM 7H311EA,747.0,Tehnomax,https://tehnomax.me/racunari-i-komponente/laptop-racunari/laptop-hp-victus-15-fb0051nm-7h311ea.html
